state,year,prevalence
Arizona,1972,0.000453588
Arizona,1973,1.30E-05
Arizona,1974,1.01E-05
Arizona,1975,3.80E-05
Arizona,1976,0.000106151
Arizona,1977,9.10E-05
Arizona,1978,2.64E-05
Arizona,1979,3.37E-05
Arizona,1980,0.000119932
Arizona,1981,3.90E-06
Arizona,1982,5.49E-06
Arizona,1983,0
Arizona,1984,0
Arizona,1985,7.79E-05
Arizona,1986,7.82E-05
Arizona,1987,1.04E-05
Arizona,1988,8.68E-07
Arizona,1989,4.08E-05
Arizona,1990,7.78E-05
Arizona,1991,9.04E-05
Arizona,1992,0
Arizona,1993,7.41E-07
Arizona,1994,2.15E-06
Arizona,1995,2.76E-06
Arizona,1996,1.78E-06
Arizona,1997,1.93E-06
Arizona,1998,2.08E-06
Arizona,1999,2.01E-07
Arizona,2000,0
Arizona,2001,1.89E-07
Arizona,2002,0
Arkansas,1928,0.004851545
Arkansas,1929,0.000675093
Arkansas,1930,0.000535999
Arkansas,1931,0.000455175
Arkansas,1932,5.28E-05
Arkansas,1933,0.002881261
Arkansas,1934,0.003804322
Arkansas,1935,0.000795169
Arkansas,1936,5.58E-05
Arkansas,1937,0.000166974
Arkansas,1938,0.003552861
Arkansas,1939,0.001239835
Arkansas,1940,0.000725356
Arkansas,1941,0.002760979
Arkansas,1942,0.0023534
Arkansas,1943,0.001532801
Arkansas,1944,0.001877144
Arkansas,1945,0.000628246
Arkansas,1946,0.001555538
Arkansas,1947,0.001236628
Arkansas,1948,0.001968367
Arkansas,1949,0.006408358
Arkansas,1950,0.000910704
Arkansas,1951,0.004021616
Arkansas,1952,0.001844417
Arkansas,1953,0.006938487
Arkansas,1954,0.001415045
Arkansas,1955,0.001630713
Arkansas,1956,0.004739958
Arkansas,1957,0.00075036
Arkansas,1958,0.001668356
Arkansas,1959,0.000455516
Arkansas,1960,0.000893481
Arkansas,1961,0.000943705
Arkansas,1962,0.000805153
Arkansas,1963,0.000811326
Arkansas,1964,0.000614728
Arkansas,1965,0.000659906
Arkansas,1966,0.000754096
Arkansas,1967,0.0006879
Arkansas,1968,1.61E-06
Arkansas,1969,1.53E-05
Arkansas,1970,1.72E-05
Arkansas,1971,0.000225827
Arkansas,1972,6.52E-06
Arkansas,1973,3.79E-05
Arkansas,1974,6.75E-06
Arkansas,1975,9.45E-07
Arkansas,1976,9.27E-06
Arkansas,1977,2.10E-05
Arkansas,1978,9.86E-06
Arkansas,1979,4.86E-06
Arkansas,1980,7.87E-06
Arkansas,1981,6.08E-06
Arkansas,1982,0
Arkansas,1983,4.30E-07
Arkansas,1984,3.87E-06
Arkansas,1985,0
Arkansas,1986,0.000122842
Arkansas,1987,0
Arkansas,1988,0
Arkansas,1989,2.14E-06
Arkansas,1990,1.74E-05
Arkansas,1991,0
Arkansas,1992,0
Arkansas,1993,0
Arkansas,1994,0
Arkansas,1995,8.05E-07
Arkansas,1996,0
Arkansas,1997,1.17E-06
Arkansas,1998,0
Arkansas,1999,1.52E-06
Arkansas,2000,3.74E-07
Arkansas,2001,0
Arkansas,2002,0
California,1928,0.00070697
California,1929,0.00073619
California,1930,0.007647363
California,1931,0.004748185
California,1932,0.002101251
California,1933,0.004332345
California,1934,0.004114938
California,1935,0.004552024
California,1936,0.007644924
California,1937,0.000784515
California,1938,0.002800101
California,1939,0.009450167
California,1940,0.003788263
California,1941,0.00177537
California,1942,0.012849913
California,1943,0.003785407
California,1944,0.006735732
California,1945,0.003808058
California,1946,0.006299959
California,1947,0.000805149
California,1948,0.005107616
California,1949,0.003286074
California,1950,0.001391242
California,1951,0.005505175
California,1952,0.003363003
California,1953,0.004437346
California,1954,0.004770909
California,1955,0.00512452
California,1956,0.002357715
California,1957,0.003549797
California,1958,0.002383911
California,1959,0.002559244
California,1960,0.001413865
California,1961,0.002274455
California,1962,0.00168745
California,1963,0.001168791
California,1964,0.001857083
California,1965,0.000769679
California,1966,0.000824599
California,1967,0.000279314
California,1968,8.57E-05
California,1969,4.58E-05
California,1970,9.77E-05
California,1971,0.000141082
California,1972,0.000156117
California,1973,3.83E-05
California,1974,5.18E-05
California,1975,0.000240985
California,1976,0.000105626
California,1977,0.000354786
California,1978,2.84E-05
California,1979,4.20E-05
California,1980,3.74E-05
California,1981,1.43E-05
California,1982,3.23E-05
California,1983,6.16E-06
California,1984,1.20E-05
California,1985,9.74E-06
California,1986,1.57E-05
California,1987,2.77E-05
California,1988,2.58E-05
California,1989,7.52E-05
California,1990,0.000322513
California,1991,6.48E-05
California,1992,1.98E-06
California,1993,2.01E-06
California,1994,2.02E-06
California,1995,1.18E-06
California,1996,1.38E-06
California,1997,1.06E-06
California,1998,1.20E-07
California,1999,5.37E-07
California,2000,4.43E-07
California,2001,9.94E-07
California,2002,0
Colorado,1928,0.002063222
Colorado,1929,0.000728499
Colorado,1930,0.011373916
Colorado,1931,0.004583769
Colorado,1932,0.002257465
Colorado,1933,0.000280069
Colorado,1934,0.012118001
Colorado,1935,0.011879709
Colorado,1936,0.000550484
Colorado,1937,0.000939505
Colorado,1938,0.008312242
Colorado,1939,0.005291533
Colorado,1940,0.002336873
Colorado,1941,0.006551018
Colorado,1942,0.004899017
Colorado,1943,0.009681414
Colorado,1944,0.005362741
Colorado,1945,0.000894446
Colorado,1946,0.009798565
Colorado,1947,0.001424966
Colorado,1948,0.007212865
Colorado,1949,0.005579181
Colorado,1950,0.003953697
Colorado,1951,0.00911236
Colorado,1952,0.003786574
Colorado,1953,0.006815743
Colorado,1954,0.001289324
Colorado,1955,0.003219791
Colorado,1956,0.009049099
Colorado,1957,0.001787925
Colorado,1958,0.005678563
Colorado,1959,0.004119196
Colorado,1960,0.003880391
Colorado,1961,0.002157504
Colorado,1962,0.004890537
Colorado,1963,0.003346056
Colorado,1964,0.001684281
Colorado,1965,0.00305724
Colorado,1966,0.000719476
Colorado,1967,0.000796332
Colorado,1968,0.000237551
Colorado,1969,6.46E-05
Colorado,1970,0.000108732
Colorado,1971,0.000394138
Colorado,1972,0.000223645
Colorado,1973,6.91E-05
Colorado,1974,6.38E-05
Colorado,1975,0.000458779
Colorado,1976,0.000171464
Colorado,1977,0.000160901
Colorado,1978,1.81E-05
Colorado,1979,2.58E-05
Colorado,1980,8.30E-06
Colorado,1981,2.72E-06
Colorado,1982,2.35E-06
Colorado,1983,0
Colorado,1984,0
Colorado,1985,2.92E-06
Colorado,1986,1.60E-06
Colorado,1987,2.86E-06
Colorado,1988,3.64E-05
Colorado,1989,3.09E-05
Colorado,1990,4.22E-05
Colorado,1991,3.27E-06
Colorado,1992,6.39E-06
Colorado,1993,0
Colorado,1994,5.50E-06
Colorado,1995,6.95E-06
Colorado,1996,1.82E-06
Colorado,1997,7.31E-06
Colorado,1998,0
Colorado,1999,0
Colorado,2000,6.97E-07
Colorado,2001,0
Colorado,2002,0
Connecticut,1928,0.006361815
Connecticut,1929,0.006157256
Connecticut,1930,0.00112639
Connecticut,1931,0.007944734
Connecticut,1932,0.003496004
Connecticut,1933,0.003310735
Connecticut,1934,0.002826142
Connecticut,1935,0.014578249
Connecticut,1936,0.002299676
Connecticut,1937,0.006084337
Connecticut,1938,0.001078851
Connecticut,1939,0.009382631
Connecticut,1940,0.003765412
Connecticut,1941,0.00368751
Connecticut,1942,0.006033313
Connecticut,1943,0.005575078
Connecticut,1944,0.004887643
Connecticut,1945,0.001651318
Connecticut,1946,0.004088085
Connecticut,1947,0.008483852
Connecticut,1948,0.001470263
Connecticut,1949,0.00967298
Connecticut,1950,0.001982783
Connecticut,1951,0.002248083
Connecticut,1952,0.01169628
Connecticut,1953,0.001009837
Connecticut,1954,0.002286921
Connecticut,1955,0.01284281
Connecticut,1956,0.001170128
Connecticut,1957,0.00409689
Connecticut,1958,0.006530942
Connecticut,1959,0.005261966
Connecticut,1960,0.004361333
Connecticut,1961,0.002608501
Connecticut,1962,0.006703663
Connecticut,1963,0.002160311
Connecticut,1964,0.00191015
Connecticut,1965,0.003266326
Connecticut,1966,0.000328382
Connecticut,1967,3.63E-05
Connecticut,1968,0.000238478
Connecticut,1969,0.000213895
Connecticut,1970,3.83E-05
Connecticut,1971,0.000390861
Connecticut,1972,0.000500095
Connecticut,1973,0.000590075
Connecticut,1974,5.63E-05
Connecticut,1975,4.17E-05
Connecticut,1976,7.66E-05
Connecticut,1977,0.000249948
Connecticut,1978,0.000170418
Connecticut,1979,1.29E-06
Connecticut,1980,8.69E-06
Connecticut,1981,2.89E-06
Connecticut,1982,2.56E-06
Connecticut,1983,0
Connecticut,1984,3.16E-06
Connecticut,1985,1.88E-06
Connecticut,1986,2.81E-06
Connecticut,1987,6.82E-06
Connecticut,1988,5.23E-06
Connecticut,1989,6.58E-05
Connecticut,1990,5.72E-05
Connecticut,1991,6.96E-06
Connecticut,1992,6.03E-07
Connecticut,1993,1.80E-06
Connecticut,1994,1.20E-06
Connecticut,1995,2.98E-07
Connecticut,1996,2.97E-07
Connecticut,1997,0
Connecticut,1998,0
Connecticut,1999,0
Connecticut,2000,0
Connecticut,2001,0
Connecticut,2002,0
Delaware,1928,0.002542438
Delaware,1929,0.002393154
Delaware,1930,0.001094891
Delaware,1931,0.010097229
Delaware,1932,0.000160659
Delaware,1933,0.00083596
Delaware,1934,0.012356835
Delaware,1935,0.004148567
Delaware,1936,0.00554721
Delaware,1937,0.006996031
Delaware,1938,0.002339361
Delaware,1939,0.00095756
Delaware,1940,0.00037898
Delaware,1941,0.012926818
Delaware,1942,0.000925276
Delaware,1943,0.005747251
Delaware,1944,0.001408105
Delaware,1945,0.000976593
Delaware,1946,0.00205052
Delaware,1947,0.000205906
Delaware,1948,0.003436937
Delaware,1949,0.002391704
Delaware,1950,0.001964884
Delaware,1951,0.002106799
Delaware,1952,0.001212824
Delaware,1953,0.001164144
Delaware,1954,0.005363559
Delaware,1955,0.000279778
Delaware,1956,0.002225495
Delaware,1957,0.000825535
Delaware,1958,0.001232576
Delaware,1959,0.00142519
Delaware,1960,0.002142095
Delaware,1961,0.003693183
Delaware,1962,0.001284493
Delaware,1963,0.002478118
Delaware,1964,0.000794377
Delaware,1965,0.001024525
Delaware,1966,0.00051123
Delaware,1967,0.000106573
Delaware,1968,4.50E-05
Delaware,1969,0.000934792
Delaware,1970,0.000488958
Delaware,1971,7.58E-05
Delaware,1972,0.000100055
Delaware,1973,1.77E-05
Delaware,1974,2.81E-05
Delaware,1975,6.10E-05
Delaware,1976,0.0001922
Delaware,1977,1.20E-05
Delaware,1978,1.88E-05
Delaware,1979,1.70E-06
Delaware,1980,6.73E-06
Delaware,1981,0
Delaware,1982,0
Delaware,1983,0
Delaware,1984,0
Delaware,1985,0
Delaware,1986,1.58E-06
Delaware,1987,3.13E-05
Delaware,1988,0
Delaware,1989,5.48E-05
Delaware,1990,1.35E-05
Delaware,1991,2.81E-05
Delaware,1992,4.37E-06
Delaware,1993,2.86E-06
Delaware,1994,0
Delaware,1995,0
Delaware,1996,1.36E-06
Delaware,1997,0
Delaware,1998,0
Delaware,1999,0
Delaware,2000,0
Delaware,2001,0
Delaware,2002,0
District Of Columbia,1928,0.005427575
District Of Columbia,1929,0.000950152
District Of Columbia,1930,0.001825953
District Of Columbia,1931,0.008443639
District Of Columbia,1932,0.000535572
District Of Columbia,1933,0.001016504
District Of Columbia,1934,0.011946917
District Of Columbia,1935,0.0016622
District Of Columbia,1936,0.003650014
District Of Columbia,1937,0.003428077
District Of Columbia,1938,0.001196543
District Of Columbia,1939,0.005105356
District Of Columbia,1940,0.001331642
District Of Columbia,1941,0.005454062
District Of Columbia,1942,0.002307438
District Of Columbia,1943,0.002918603
District Of Columbia,1944,0.003693069
District Of Columbia,1945,0.00046041
District Of Columbia,1946,0.005442993
District Of Columbia,1947,0.000683184
District Of Columbia,1948,0.003239699
District Of Columbia,1949,0.002816905
District Of Columbia,1950,0.002145409
District Of Columbia,1951,0.001861931
District Of Columbia,1952,0.002876798
District Of Columbia,1953,0.00044674
District Of Columbia,1954,0.003816227
District Of Columbia,1955,0.000574193
District Of Columbia,1956,0.002038528
District Of Columbia,1957,0.001127496
District Of Columbia,1958,0.001840606
District Of Columbia,1959,0.000517598
District Of Columbia,1960,0.001583861
District Of Columbia,1961,0.000479916
District Of Columbia,1962,0.000921715
District Of Columbia,1963,0.000289378
District Of Columbia,1964,0.000449583
District Of Columbia,1965,0.000204808
District Of Columbia,1966,0.000508157
District Of Columbia,1967,3.52E-05
District Of Columbia,1968,7.83E-06
District Of Columbia,1969,5.90E-05
District Of Columbia,1970,0.000456042
District Of Columbia,1971,2.14E-05
District Of Columbia,1972,2.71E-06
District Of Columbia,1973,1.38E-05
District Of Columbia,1974,1.40E-06
District Of Columbia,1975,2.87E-06
District Of Columbia,1976,1.90E-05
District Of Columbia,1977,2.09E-05
District Of Columbia,1978,3.04E-06
District Of Columbia,1979,1.54E-06
District Of Columbia,1980,7.83E-06
District Of Columbia,1981,3.17E-06
District Of Columbia,1982,1.60E-06
District Of Columbia,1983,0
District Of Columbia,1984,0
District Of Columbia,1985,4.55E-05
District Of Columbia,1986,0
District Of Columbia,1987,0
District Of Columbia,1988,0
District Of Columbia,1989,6.73E-05
District Of Columbia,1990,3.62E-05
District Of Columbia,1991,0
District Of Columbia,1992,3.33E-06
District Of Columbia,1993,0
District Of Columbia,1994,0
District Of Columbia,1995,0
District Of Columbia,1996,0
District Of Columbia,1997,3.45E-06
District Of Columbia,1998,0
District Of Columbia,1999,0
District Of Columbia,2000,0
District Of Columbia,2001,0
District Of Columbia,2002,0
Florida,1928,0.001262031
Florida,1929,0.000796872
Florida,1930,0.003572375
Florida,1931,0.002564175
Florida,1932,0.000132223
Florida,1933,0.000616976
Florida,1934,0.004854589
Florida,1935,0.0006943
Florida,1936,0.000174569
Florida,1937,0.000222711
Florida,1938,0.005070983
Florida,1939,0.001563441
Florida,1940,0.001155257
Florida,1941,0.00476101
Florida,1942,0.002037057
Florida,1943,0.000814896
Florida,1944,0.002152388
Florida,1945,0.000441746
Florida,1946,0.001241723
Florida,1947,0.000560519
Florida,1948,0.001567423
Florida,1949,0.001461
Florida,1950,0.000845811
Florida,1951,0.000774533
Florida,1952,0.001118754
Florida,1953,0.000386149
Florida,1954,0.003112725
Florida,1955,0.000381336
Florida,1956,0.001293949
Florida,1957,0.001245727
Florida,1958,0.002761173
Florida,1959,0.000761597
Florida,1960,0.000751884
Florida,1961,0.001294722
Florida,1962,0.000772922
Florida,1963,0.000674731
Florida,1964,0.001224076
Florida,1965,0.000627303
Florida,1966,0.000646952
Florida,1967,0.000289359
Florida,1968,8.94E-05
Florida,1969,9.27E-05
Florida,1970,0.00021283
Florida,1971,0.000330448
Florida,1972,0.00019255
Florida,1973,5.23E-05
Florida,1974,2.93E-05
Florida,1975,1.01E-05
Florida,1976,4.01E-05
Florida,1977,3.45E-05
Florida,1978,0.000120662
Florida,1979,6.45E-05
Florida,1980,4.18E-05
Florida,1981,2.98E-05
Florida,1982,2.05E-05
Florida,1983,1.50E-05
Florida,1984,1.45E-06
Florida,1985,9.93E-06
Florida,1986,3.42E-05
Florida,1987,7.08E-06
Florida,1988,1.36E-05
Florida,1989,1.61E-05
Florida,1990,2.87E-05
Florida,1991,2.24E-05
Florida,1992,3.02E-06
Florida,1993,1.95E-06
Florida,1994,1.48E-06
Florida,1995,6.22E-07
Florida,1996,0
Florida,1997,5.30E-07
Florida,1998,6.50E-08
Florida,1999,6.37E-08
Florida,2000,1.25E-07
Florida,2001,0
Florida,2002,6.04E-08
Georgia,1928,0.0015979
Georgia,1929,0.000406401
Georgia,1930,0.001533089
Georgia,1931,0.001046417
Georgia,1932,0.000344304
Georgia,1933,0.00157041
Georgia,1934,0.007741397
Georgia,1935,1.04E-05
Georgia,1936,2.66E-06
Georgia,1937,0
Georgia,1938,0.003023467
Georgia,1939,0.001170593
Georgia,1940,0.000939264
Georgia,1941,0.002965966
Georgia,1942,0.001702798
Georgia,1943,0.001278671
Georgia,1944,0.00168145
Georgia,1945,0.000262951
Georgia,1946,0.001150164
Georgia,1947,0.001005084
Georgia,1948,0.000365923
Georgia,1949,0.002818288
Georgia,1950,0.000626782
Georgia,1951,0.002158292
Georgia,1952,0.0022907
Georgia,1953,0.000861049
Georgia,1954,0.001869728
Georgia,1955,0.000674814
Georgia,1956,0.001281036
Georgia,1957,0.001551679
Georgia,1958,0.001739514
Georgia,1959,0.000114498
Georgia,1960,5.50E-05
Georgia,1961,0.000103237
Georgia,1962,0.000102984
Georgia,1963,4.86E-05
Georgia,1964,5.05E-05
Georgia,1965,0.000154409
Georgia,1966,5.67E-05
Georgia,1967,9.60E-06
Georgia,1968,9.00E-07
Georgia,1969,4.43E-07
Georgia,1970,3.92E-06
Georgia,1971,0.000243143
Georgia,1972,3.71E-05
Georgia,1973,1.06E-05
Georgia,1974,6.10E-07
Georgia,1975,7.99E-06
Georgia,1976,9.81E-07
Georgia,1977,0.000146818
Georgia,1978,1.06E-05
Georgia,1979,0.0001033
Georgia,1980,0.00015504
Georgia,1981,1.98E-05
Georgia,1982,0
Georgia,1983,1.40E-06
Georgia,1984,5.15E-07
Georgia,1985,1.35E-06
Georgia,1986,1.55E-05
Georgia,1987,1.47E-06
Georgia,1988,0
Georgia,1989,2.68E-06
Georgia,1990,5.53E-05
Georgia,1991,2.27E-06
Georgia,1992,4.43E-07
Georgia,1993,1.44E-07
Georgia,1994,4.22E-07
Georgia,1995,6.87E-07
Georgia,1996,1.34E-07
Georgia,1997,0
Georgia,1998,1.28E-07
Georgia,1999,0
Georgia,2000,0
Georgia,2001,1.20E-07
Georgia,2002,1.17E-07
Hawaii,1960,0.008410612
Hawaii,1961,0.000302656
Hawaii,1962,0.004037599
Hawaii,1963,0.005326258
Hawaii,1964,0.001266321
Hawaii,1965,0.005844075
Hawaii,1966,0.000205027
Hawaii,1967,0.000245363
Hawaii,1968,5.03E-05
Hawaii,1969,7.05E-05
Hawaii,1970,0.000249818
Hawaii,1971,0.000622008
Hawaii,1972,0.000119304
Hawaii,1973,3.64E-05
Hawaii,1974,7.47E-05
Hawaii,1975,7.52E-05
Hawaii,1976,1.24E-05
Hawaii,1977,4.86E-05
Hawaii,1978,2.27E-05
Hawaii,1979,8.14E-05
Hawaii,1980,9.33E-06
Hawaii,1981,8.14E-06
Hawaii,1982,5.00E-06
Hawaii,1983,9.84E-07
Hawaii,1984,0.000167637
Hawaii,1985,2.29E-05
Hawaii,1986,2.83E-05
Hawaii,1987,1.86E-06
Hawaii,1988,1.84E-05
Hawaii,1989,2.83E-05
Hawaii,1990,3.70E-05
Hawaii,1991,1.97E-05
Hawaii,1992,4.34E-05
Hawaii,1993,1.32E-05
Hawaii,1994,0
Hawaii,1995,0
Hawaii,1996,2.91E-05
Hawaii,1997,5.09E-06
Hawaii,1998,0
Hawaii,1999,8.33E-07
Hawaii,2000,1.65E-06
Hawaii,2001,5.72E-06
Hawaii,2002,8.09E-07
Idaho,1928,0.000200086
Idaho,1929,0.001622792
Idaho,1930,0.001975139
Idaho,1931,0.000262433
Idaho,1932,8.78E-05
Idaho,1933,0.001941349
Idaho,1934,0.002537715
Idaho,1935,0.001830313
Idaho,1936,0.002662298
Idaho,1937,0.002477356
Idaho,1938,0.00431649
Idaho,1939,0.007009803
Idaho,1940,0.003366529
Idaho,1941,0.000959302
Idaho,1942,0.003501621
Idaho,1943,0.005960881
Idaho,1944,0.001747356
Idaho,1945,0.002363744
Idaho,1946,0.003919113
Idaho,1947,0.000470719
Idaho,1948,0.002636991
Idaho,1949,0.005008235
Idaho,1950,0.003248182
Idaho,1951,0.003536211
Idaho,1952,0.001911369
Idaho,1953,0.003150096
Idaho,1954,0.007074385
Idaho,1955,0.001112911
Idaho,1956,0.00311363
Idaho,1957,0.004819582
Idaho,1958,0.005829375
Idaho,1959,0.002452139
Idaho,1960,0.004243163
Idaho,1961,0.002873683
Idaho,1962,0.002407909
Idaho,1963,0.00579815
Idaho,1964,0.003382638
Idaho,1965,0.004602569
Idaho,1966,0.002499728
Idaho,1967,0.000603115
Idaho,1968,3.04E-05
Idaho,1969,0.000128536
Idaho,1970,0.000137531
Idaho,1971,0.000375966
Idaho,1972,0.000146957
Idaho,1973,0.000331966
Idaho,1974,6.78E-05
Idaho,1975,2.43E-05
Idaho,1976,0.002332824
Idaho,1977,0.000192824
Idaho,1978,4.43E-06
Idaho,1979,2.38E-05
Idaho,1980,0
Idaho,1981,2.09E-06
Idaho,1982,0
Idaho,1983,1.03E-06
Idaho,1984,0
Idaho,1985,6.32E-05
Idaho,1986,1.02E-06
Idaho,1987,0
Idaho,1988,0
Idaho,1989,8.03E-06
Idaho,1990,2.19E-05
Idaho,1991,0.000429582
Idaho,1992,0
Idaho,1993,0
Idaho,1994,1.83E-06
Idaho,1995,3.56E-06
Idaho,1996,1.73E-06
Idaho,1997,6.81E-05
Idaho,1998,8.17E-07
Idaho,1999,0
Idaho,2000,0
Idaho,2001,1.51E-06
Idaho,2002,0
Illinois,1928,0.000998836
Illinois,1929,0.005100136
Illinois,1930,0.002164559
Illinois,1931,0.005164729
Illinois,1932,0.002081393
Illinois,1933,0.001555143
Illinois,1934,0.005728294
Illinois,1935,0.007450386
Illinois,1936,0.000154195
Illinois,1937,0.001472794
Illinois,1938,0.011472358
Illinois,1939,0.001003761
Illinois,1940,0.000843079
Illinois,1941,0.006177712
Illinois,1942,0.001339277
Illinois,1943,0.003169423
Illinois,1944,0.002281797
Illinois,1945,0.000958199
Illinois,1946,0.00293628
Illinois,1947,0.000910816
Illinois,1948,0.004305205
Illinois,1949,0.000665039
Illinois,1950,0.002009486
Illinois,1951,0.001866457
Illinois,1952,0.00294246
Illinois,1953,0.001729939
Illinois,1954,0.003591881
Illinois,1955,0.001454963
Illinois,1956,0.004423355
Illinois,1957,0.001002751
Illinois,1958,0.002349914
Illinois,1959,0.00096634
Illinois,1960,0.002247361
Illinois,1961,0.001577413
Illinois,1962,0.001624777
Illinois,1963,0.000979982
Illinois,1964,0.0014949
Illinois,1965,0.000427538
Illinois,1966,0.001068891
Illinois,1967,0.000120115
Illinois,1968,0.000135305
Illinois,1969,0.000101442
Illinois,1970,0.000296294
Illinois,1971,0.000292317
Illinois,1972,0.000402573
Illinois,1973,0.000194451
Illinois,1974,0.000186921
Illinois,1975,0.000164261
Illinois,1976,0.000178347
Illinois,1977,0.00016551
Illinois,1978,6.93E-05
Illinois,1979,0.000115226
Illinois,1980,2.97E-05
Illinois,1981,2.45E-06
Illinois,1982,2.19E-06
Illinois,1983,1.71E-05
Illinois,1984,1.35E-05
Illinois,1985,2.41E-05
Illinois,1986,3.65E-05
Illinois,1987,1.65E-05
Illinois,1988,4.49E-06
Illinois,1989,0.000224021
Illinois,1990,9.07E-05
Illinois,1991,5.22E-07
Illinois,1992,7.78E-07
Illinois,1993,3.43E-07
Illinois,1994,1.53E-06
Illinois,1995,4.21E-07
Illinois,1996,1.67E-07
Illinois,1997,7.43E-07
Illinois,1998,8.18E-08
Illinois,1999,0
Illinois,2000,3.22E-07
Illinois,2001,8.00E-08
Illinois,2002,0
Indiana,1928,0.002657894
Indiana,1929,0.003232995
Indiana,1930,0.001208892
Indiana,1931,0.00540779
Indiana,1932,0.000888876
Indiana,1933,0.001083475
Indiana,1934,0.006326216
Indiana,1935,0.002996886
Indiana,1936,0.000211275
Indiana,1937,0.002110248
Indiana,1938,0.005244564
Indiana,1939,0.000598642
